"filename", "language", "JSON", "C++", "HTML", "CMake", "YAML", "Markdown", "Swift", "Dart", "XML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 3, 15, 86
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\google-services.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 1, 11
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 1, 52
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 1, 10
